# breadth, S_absorption, pressure, size_avg, k_absorption, surface, volume, size_std, potential, kinetic, energy, euler, temperature
8.8085e+00 1.2375e+00 -3.9997e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1913e+01 2.9613e-01 -1.1617e+01 6.0000e+00 1.9742e-01
8.8085e+00 1.2375e+00 -4.1920e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2030e+01 1.7362e-01 -1.1856e+01 6.0000e+00 1.1575e-01
8.8085e+00 1.2375e+00 -4.3594e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2021e+01 7.1250e-02 -1.1949e+01 6.0000e+00 4.7500e-02
8.8085e+00 1.2375e+00 -4.1178e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2055e+01 1.3747e-01 -1.1918e+01 6.0000e+00 9.1644e-02
8.8085e+00 1.2375e+00 -3.7671e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2006e+01 1.6055e-01 -1.1846e+01 6.0000e+00 1.0703e-01
8.8085e+00 1.2375e+00 -3.6284e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1938e+01 1.3720e-01 -1.1801e+01 6.0000e+00 9.1464e-02
8.8085e+00 1.2375e+00 -3.1817e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1931e+01 1.9806e-01 -1.1733e+01 6.0000e+00 1.3204e-01
8.8085e+00 1.2375e+00 -4.2820e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1990e+01 1.7697e-01 -1.1813e+01 6.0000e+00 1.1798e-01
8.8085e+00 1.2375e+00 -4.4573e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2017e+01 1.2596e-01 -1.1892e+01 6.0000e+00 8.3972e-02
8.8085e+00 1.2375e+00 -4.1586e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2042e+01 1.4234e-01 -1.1900e+01 6.0000e+00 9.4891e-02
8.8085e+00 1.2375e+00 -3.7270e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.1994e+01 9.2179e-02 -1.1902e+01 6.0000e+00 6.1453e-02
8.8085e+00 1.2375e+00 -3.8290e-01 3.0000e+00 3.2260e+00 4.4829e+00 1.8563e-01 2.0000e+00 -1.2018e+01 1.8065e-01 -1.1838e+01 6.0000e+00 1.2043e-01
